codigo,nome,contato,email,fone
72,AMERICA SATELITE,,,(19)3232-7202
388,AMERICANEXPLORER,,,(19) 2102.0550
524,ANCONSEG MANUTENÇÃO E COMÉRCIO DE SISTEM,,suporte@anconseg.com.br,0117865-8697
844,ANDERSON ALVES DOS SANTOS,Anderson,aresdapiloa@gmail.com,12 99206-7727
888,ANDRADE & RODRIGUES ALARMES LTDA,,,17 3212-1616
14,ANDRE LUIZ RAMIREZ - EPP,ANDRE LUIZ RAMIREZ,,(15) 3233-6550
1168,ANDREA NOGUEIRA FORTES MONITORAMENTO,,,
1081,ANGELCAM,,,
1157,ANGRATEL TELECOMUNICAÇÕES LTDA EPP,,,
73,ANIXTERN DO BRASIL LTDA,,,(11)3868-6644
1058,ANKO DO BRASIL PRODUTOS DE SEGURANCA ELE,Ismar William Alves Telles,,0800 887 0581
21,ANMY DO BRASIL,,,(11) 4063-6640
755,ANTONIO CARLOS MACEDO,,,
756,ANTONIO LUCIANO PINTO,,,
81,APPARATUS TECNOLOGIA,LUIZ RICARDO CASONI,,41*3364-9221
825,ARAMES BRAVO,,comercial@aramesbravo.com.br,024 3323-3335
817,ARBO EQUIPAMENTO,,,36331817
969,ARMANDO MANZIONE SENATORE ME,,,
82,ASPECTO PROFISSIONAL UNIFORMES,,,21*2254-3506
680,ASSISTENCIAROTEC,,roger@assistenciarotec.com.br,(11) 3273-3494
391,ASTERPLAS EMBALAGENS PLÁSTICAS,,vendas@sacosplasticos.net,11 4307-0030
400,ATD SHELTER INDÚSTRIA E COMÉRCIO LTDA,,atdshelter@atdshelter.com.br,(11) 3772-5069
15,AUTENTIC COMERCIAL E INFORMATICA LTDA,,autentic@autenticinfo.com,(11)  2097-6008
1038,AUTKOM COMERCIO E SERVICOS DE EQUIPAMENT,,AUTKOM@UOL.COM.BR,
85,AUTO MECANICA SOUZA,DONIZETE DE SOUZA,,12*9111-5085
422,AUTO PEÇA DISPICAR,3632-1014,,
17,AUTO PEÇAS OPÇÃO TAUBATÉ ME,DIEGO,,(12) 3632-6259
954,AUTO POSTO ALTY,,,
940,AUTO POSTO LEIRIA TAUBATE,,,
957,AUTO POSTO LIDER TAUBATE,,,
955,AUTO POSTO MARECHAL,,,
18,AUTO POSTO PETROVAL LTDA,,,(12) 3632-9433
16,AUTO POSTO SOGAL,MESSIAS,sogal@uol.com.br,(12) 3632-6531
19,AUTO VITRAIS E ACESSÓRIOS -  BIZORD LTDA,,,(12) 3632-1885
84,AUTOPATNER-PECAS E ACESSÓRIOS,ISAC,,12*3632-7001
86,AXYON DISTRIBUIDORA,,CONTATO@AXYON.COM.BR,11*3728-4404
20,AYATEX INDUSTRIA E COMERCIO DE ROUPAS,,,
732,AZLINK SOLUÇÕES EM TELECOMUNICAÇÕES,,info@azlink.com.br,11 4031-2924
837,AÇOS CORTANTES,,,
52,B.S. INTERATIVA COMERCIAL ELETRONICOS LT,,,014 32047944
27,B.Y. PNEUS E ACESSÓRIOS,YAMADA  / MAURO,bypneus@gmail.com,(12) 3629-7807
22,BACANA AUTOCENTER,GERSON DOS SANTOS,,(12) 3629-3514
979,BANCO BRADESCO 1011362-8,,,
39,BANCO BRADESCO S.A.,,,(12) 3635-1700
868,BANCO DO BRASIL - TAUBATÉ  AG.00000,,,
835,BANCO SANTANDER - TAUBATE - CENTRO,,,36347050
1012,BARBOSA & BONAFÉ,,,
1014,BARGANHA DE TAUBATE,,,
821,BATERIAS PIONEIRO INDUSTRIAL LTDA.,,pioneiro@bateriaspioneiro.com.br,49 3537-7500
547,BC TEC BRASIL,BRUNO RODRIGUES,brunorbinf@hotmail.com,1234136997
87,BDI INFORMATICA,MARCIA / PAULO / MARINA,,12*3916-4856
88,BEL MICROS,JAQUELINE,cidasilva19@hotmail.com,11*2107-7900
401,BELLFONE DISTRIBUIDORA,,,(011) 4061-8500
686,BERKAT DISTRIBUIDORA,,,(11) 2682-7343
351,BERTEK TELECOM,,,(27) 2121-5637
89,BINA MODAS ATACADÁO DA MODA FEMININA,ANE,,11*3326-0255
773,BINOTTO DISTRIBUIDORA DE MATERIAIS ELÉTR,JAMILE  / SHIRLEY / ESTEFANI,vendasbinotto@hotmail.com,12 3682-1224
1147,BJ SEG TAUBATE DISTRIBUIDORA DE MAT ELET,,,
632,BKL,JULIANA,contato@bkl.com.br,(12) 3209-9353
1121,BORBA & SANTOS TAUBATÉ LTDA EPP,,,
24,BORRACHARIA  SÃO FRANCISCO,JORGINHO,,
90,BOSCHI- SKIL DREMEL,ADERBAL,,7813-9417
93,BR1 DISTRIBUIDORA DE INFORMATICA,MICHEL HOFFMAN,,(047) 33664600
948,BRADESCO 3154-1011362-8,,,
40,BRADESCO LEASING S/A AR. MERC.,,,
42,BRADESCO SEGUROS S/A,,,
91,BRANDAO SEGURANCA,RENATO BRANDAO,,11*3676-1464
939,BRASCAN,,,
96,BRASIL VISION  SISTEM COMERCIAL LTDA,TOMIO / ROBERTO,,11*5031-7553
25,BRASIL VITÓRIA  NET IMPOT. EXPOT. LTDA,FERNANDA,,(11)  223-8513
92,BRASILTECK DISTRIBUIDORA DE INFORMATICA,,,47*3361-9085
94,BRAVIEW IND. DE PROD. ELET. DO BRASIL,0800-7044139,,35*3449-8800
978,BRAVISEG DISTRIBUIDORA,Sandro Oliveira,vendas@braviseg.com.br,(48) 3626-5655
95,BRAVO VICTOR RADIO COMUNICACAO,,,11*3361-8515
408,BRECHO ELIZETE,,,3624-1051
97,BRECHÓ ROSANA,,,12*3411-6474
98,BRECHÓ TOCA,PROX AO SANT. SAO BENEDITO,,12*3622-7900
409,BRIDA LUBRIFICANTES,,brida@bridalubrificantes.com.br,011 21000500
1119,BRILLIANT COM IMP E EXP LTDA,,,(11)3316-1442
563,BRUBEKI,,,
514,BRUNO CHIARAMONTE TRANS E LOC DE CAÇAMBA,,,12 36321884
99,BS  CABLES E WIRELESS,Antonio Alberto Correa,vendas@bscables.com.br,19*3236-0020
26,BSD SISTEMAS DE SEGURANCA LTDA ME,,,(41) 329-1699
101,BSS BRASIL SECURITY SISTEM,ELI FAISIBAIOFF,,11*3726-2900
102,BUILDING CONECTORES,,,11*2621-4811
949,BULHER METALURGICA,,contato@bulher.com.br,
603,BYCON.COM.BR,,leticia.zanoni@bycon.com.br,(11) 5096-1900
515,C E J COM. E ASSIS. TEC. DE ELETRODOMEST,,,
1163,CA DOS SANTOS MOURÃO,,,
121,CABALA TELECOM,,marcio@cabalatelecomvirtual.com.br,(31) 3267-3450
659,CABLETECH,,,012 3221-1300
377,CADRI DISTRIBUIDORA,SIMONE,contato@cadri.com.br,011 4169-5588
410,CAF INDÚSTRIA ELETRÔNICA LTDA.,,,(51) 3375.4000
758,CAIXA ECONOMICA FEDERAL,,,
105,CAJÉ IMPORTADORA,,,12*3621-7082
526,CAMARGO & CARDOSO TAUBATE LTDA,,,12 3624-9012
878,CAMBIUM NETWORKS,,,
726,CAMILA MANUTENÇÃO DE FERRAMENTAS ELÉTRIC,CAMILA,,36297040
28,CAMILA TREVISAN BATISTA ME,,,
107,CAMISÓDROMO,ANGÉLICA,,11*3315-9744
919,CAMPOS E TOLEDO TAUBATÉ LTDA,,,3624-3354
892,CANAA.SECURITY,Robert Toda.,,011 333399
1045,CAPACITEC COMPONENTES ELETRO-ELETRONICOS,,capacitec@gmail.com,(16) 3633-3635
29,CARDOSO & CARDOSO TINTAS DE TAUBATE LTDA,,,(12) 3621-2638
519,CARGLAS REPA. E TRO. DE VIDROS AUTOMOTI.,,,12 36229240
905,CARINA CESAR NASCIMENTO,Marcos,marcos.cesar1967@gmail.com,
994,CARLINHOS MANUTENÇÃO AUTOMOTIVA,CARLOS,,78151515
521,CARLOS A. P. DE ANDRADE CAÇAPAVA ME,,,1236811188
633,CARLOS COMPUTADORES DA SILVA PINHEIRO IN,,,012 3631-1224
30,CARMO BETIN MANUTENÇÃO DE VEICULOS,CARMO,,(12) 3633-5099
111,CARTUCHOS . COM,,,12*3621-1162
51,CASA 3 IRMÃOS,FERNANDA,,(12) 3632-6462
113,CASA DAS PLACAS EKT LTDA,ANTONIO BISPO DE OLIVEIRA,,12*3921-5303
545,CASA DE RECUPERAÇAO,JEFERSON VENDEDOR,,012 34242344
973,CASA DO AVICULTOR DO AMIGO BUENO LTDA,,,
114,CASA DO CONSTRUTOR,,,12*3633-4692
357,CASA DO PORTÃO AUTOMÁTICO,,ppasaojosedoscampos@ppa.com.br,12 3933-5516
115,CASA DO UNIFORME,,,12*362155-52
411,CASA DO ÓLEO,,,36323831
1123,CASA PARAFUSO ESTIVA,,,
116,CASAS BAHIA,,,12*3632-1814
842,CASASEG,,comercial@casaseg.com,(35) 3471-0337
117,CCD / BRASIL,,,11*3684-8737
735,CELINA DE FATIMA SILVA,,,3608-5513
118,CELY MARTINS ARAÚJO DE LIMA-SEGURANCA II,,,21*3406-8574
404,CENTRAL CABOS,,vendas@centralcabos.com.br,(11) 3222-5985
412,CENTRAL DAS ANTENAS,CARLOS,centraldasantenas@gmail.com,(12)39415853
1092,CENTRALTEC - RENATA DO SANTOS CAMPOS,,,
926,CENTRO AUTOMOTIVO AVENIDA DO POVO,,,
119,CENTROPORT COMERCIO DE PRODUTOS ELETRÔNI,TAINA / Jonas L. Silva  / DAIANE,martins@centroport.com.br,11*6642-9557
677,CENTURY BLINDAGENS DE IMOVEIS,,,
880,CEU TELECOM E SOLUÇÕES LTDA,,,(31) 3526-0777
120,CHAVEIRO CHAGAS,,,12*3629-7500
851,CIAZZANI DIVISORIAS,,ciazzani@ciazzani.com.br,(12) 3901.4252
518,CIPA PUBLICAÇÕES PROD. E SERV. LTDA,,,11 55854355
31,CITAL FERRAGENS,,,(12) 3632-7154
674,CITEC FAST COMPUTADORES,CARLOS,vendas_carloscomputadores@hotmail.com,12 34136987
694,CITROX,,,035 -34731081
1004,CLARO PARTICIAPÇÕES - NET,,,
999,CLARO TELECOM PARTICIPAÇÕES S.A.,,,(11) 994156555
1079,CLAUTEC ELETRÔNICA LTDA,PETRUCIO,,(11) 3333-0988
419,CLEAR CFTV INDÚSTRIA E COMERCIO DE PRODU,,,(35) 3471.7073
385,CLEBER CARDOSO MIRAO - ME,,contato@miraoinformatica.com.br,
122,CLEBER DE JESUS MAIA TRINDADE-ME,EDGAR,,
1085,CLEICE LUCY REIS AGUIAR,,,
625,CM DISTRIBUIDORA DE MOTO PEÇAS,,,011 5515-1100
129,COMERCIAL AVILA  VALLECOLOR LTDA LTDA,EDUARDO TEXEIRA,,12*3621-1714
990,COMERCIAL BARROS FERRAGENS E CONSTRUÇÃO,,,
1178,COMERCIAL CAMPINAS DE PRODUTOS ELETROMEC,,,
123,COMERCIAL DIOGO E SILVA LTDA-EPP (W & S),,,12*3901-2513
125,COMERCIAL ESTORIL,,,12*3682-3307
126,COMERCIAL J.H DE ANGELIS LTDA,,,12*3632-0717
124,COMERCIAL S. R . MENDONCA LTDA ME,MARCELO RONDELLI,,12*3944-5813
1111,COMERCIAL SEMAR DE PINDA LTDA,,,
638,COMERCIAL SÓ PORTÕES PRODUTOS ELETRÔNICO,,,(19) 3272-4284
127,COMERCIAL TADINI LTDA,JUNIOR,,35*3471-2707
372,COMERCIAL TUAN MATERIAIS PARA CONSTRUCAO,,,1236331311
1018,COMERCIAL TUAN MATERIAIS PARA CONSTRUCAO,,www.comercialtuan.com.br,12) 3634-6500
128,COMERCIAL VALE CABOS LTDA,,,12*3937-8228
130,COMERCIAL VALMOR LTDA,,,12*3631-3554
131,COMERCIAL Z SUL PRODUTOS ELET. LTDA,RACHEL-FONE.FAX 11*5586-7899,,11*5586-7880
132,COMERCIO DE SUCATA  CARLAO,CARLAO,,12*8173-5898
983,COMPONET ELETRO ELETRONICA E TELECOMUNIC,,,19) 3112-4900
1116,CONCERTINA DO VALE INDÚSTRIA E COMÉRCIO,,,3624-7383
133,CONDUVALLE,APARECIDO,,12*3931-6522
607,CONECT WI,,,(44) 4052-9491
538,CONFECÇAO BOCAINA,VALÉRIA,contato@executiveuniformes.com.br,012 34241864
683,CONFISEG HASTES,,,(17) 3344-0800
968,CONTA BRADESCO LEONOR,,,
1113,CONTROL ID,,,
893,CONTROLBR - TECNOLOGIA E SEGURANÇA,,,(11) 2376 - 121
665,CONTRONICS,,comercial.js@contronics.com.br,(11) 5083.2764
134,COPIADORA CAMPELLO MAQUINAS LTDA,,,12*3622-4303
135,COREVAL MATERIAIS ELETRICOS,FERNANDO N 3625-3300,,12*3625-3300
136,COX DAZZLER COM E REPRESENTACOES LTDA,SUZANA N CRISTOFOLETI,,11*3337-1666
137,CRIARTS,,,12*3621-4645
843,CRISTIAN RONDON RAMIRO,,,
138,CROCKETT INTERNACIONAL,,,
353,CROSSCONNECT,ADAN,vendas@crosscftv.com.br,(41) 3327-1505
139,CS DISTRIBUIDORA,DONIZETE SILVA / 9781-3753 /,,12*3939-8180
140,CSC INDUSTRIA COM. DE PROD. ELET.LTDA,,,35*3471-0770
906,D.P. COMERCIO TREMEMBE LTDA - ME,ALEXANDRE,dpdanilo@bol.com.br,997284897
1188,D4SIGN,,,
381,DANI CONDUTORES ELETRICOS LTDA,,dni@dni.com.br,(11) 3933-8888
498,DANIEL BUZZO ME,,,
142,DANIELLE DINIZ  ENEIAS DE CASTRO,DANIELLE,,11*3971-5641
143,DANKE DO BRASIL LTDA,,,19*3237-0374
1155,DATORA MOBILE TELECOMUNICAÇÕES,BRUNO,,11 91809-9999
145,DAYANA DA SILVA,LEANDRO,,12*3025-4495
1091,DB DETECTORES BRASIL IND. COM. LTDA.,,detectores@detectoresbrasil.com.br,(11) 4667-4001
406,DBM SISTEMAS LTDA,,,035 34711511
873,DCA DELTA CABLE AMERICAS LTDA,,,11 2526 5797
167,DECIBEL INDUSTRIA E COMÉRCIO LTDA.,,vendas@decibel.com.br,(11) 2916-6722
146,DECORACOES VERDE E AMARELA,GALVAO TEL 9771-8605,,12*3632-7986
1060,DEIVIDE RODRIGO LOPES ME,,,1149333577
855,DELL,,,
1109,DELL,,,
540,DELTAGLOBAL IND COM COMP INFOR E TELE LT,,,5130457899
147,DENKI INDUSTRIA,PEDRO MENDES,,35*471-2374
171,DEPOFILI IND TEXTIL LTDA,,,11*3784-3164
769,DEPOSITO CATAGUÁ,,,
571,DEPOSITO DICICO,,,(12) 3634-8400
148,DEPOSITO DO ALIRIO,ALIRIO DOS SANTOS,,0123622-1638
149,DEPOSITO DO GILSON MATERIAIS DE CONST.,GILSON,,12*3621-5395
572,DEPOSITO MAT.COSTRUÇÃO S. GERALDO MAGELA,,,1236225264
574,DEPOSITO OLIMPIA,,,1236217544
152,DEPOSITO SANTOS,OSNI,,12*3632-0066
413,DEPOSTITO TERRAS,,,(012)3633-3531
153,DESEMBARGADOR AUTO PECAS,,,12*3622-1423
154,DESFIRIAL COM. FERRAGEM,,,12*3621-9823
363,DESMANCHE,,,1236243491
368,DESMANCHE - BRASIL,,,1236217495
945,DESMANCHE - BSR AUTO PÉÇAS,,onsilv@uol.com.br,012 78115939
364,DESMANCHE - CIGANO,,,1236224451
155,DESMANCHE - CR AUTO PECAS,,,12*3633-8051
365,DESMANCHE - FALCÃO AUTO PÉÇAS,,,1236335822
158,DESMANCHE - KF,LÉO,,1236293887
295,DESMANCHE - MARANHÃO,,,12*3681-3504
367,DESMANCHE - RAINHA AUTO PÉÇAS,,,1236811212
370,DESMANCHE - SETE ESTRELAS,,,1236723856
156,DESMANCHE - SOUZA AUTO PECAS,REGINA BETO,,12*3624-9018
369,DESMANCHE - SÃO PEDRO,,,1236293887
159,DESMANCHE - TATU,DOUGLAS,,12*3633-1053
157,DESMANCHE - TIGRAO,,,0123635-5550
371,DESMANCHE - TREVO,,,1236220345
531,DEXCOM INDÚSTRIA E COMÉRCIO DE INFORMÁTI,,,1135230800
1096,DI PAULI DISTRIBUIDORA E COMERCIAL EIREL,,,
414,DICEL COMERC. DE COMPON. ELETR. LTDA,,,(011)  3225-0572
899,DICOMP DISTRIBUIDORA,,,(44) 4009-2826
803,DIGEMPREX-ROSE,,,
778,DIGISERVER,,digiserver@digiserver.com.br,(11) 2147-8800
713,DIJAVE MOTOS,,atendedijavemotos@terra.com.br,(12) 3961-1100
708,DIMEP,MARCOS,,(11) 3646.4000
1104,DIMEP,,,
161,DINAMIC WIRELESS,,,11*5668-8008
162,DIPECAR AUTO PECAS LTDA,Dito,,12*3632-1014
163,DISBRAU DISTRIBUIDORA DE UNIFORME LTDA,,,11*228-5491
164,DISIC -  AMATEL TELECOM,LEONARDO J. SCHIT,,12*3931-1028
612,DISPEMEC DISTRIBUIDORA AUTOPECAS,JESSICA (RAMAL 236),vendas@dispemec.com.br,012 2139-5840
166,DISPEVALE DISTRIBUIDORA DE AUTOPECAS,,,12*3924-9600
62,DISTRIBUICAO E TREINAMENTO,ALARM SISTEM-DISTRIBUICAO E,vendasitajai@asdt.com.br,(47)3348-9009
725,DISTRIBUIDORA CENTURY SEGURANCA ELETRONI,JULIANA,distribuidoracenntury.cftv@outlook.com,012 39342334
1050,DISTRIBUIDORA DE BEBIDAS AMBEV,,,36821966
373,DISTRIBUIDORA DE ELETRONICOS ROUTE66 LTD,CLAUDIO  / VINICUS Nextel:,paola.machado@route66.com.br,(012) 3919-6666
10,DISTRIBUIDORA DE ÁGUA SERRANA,,,3631-3785
681,DISTRIBUIDORA LEMANTI,RENAN,renan@lemanti.com.br,(11) 2711.3100
168,DISTRIBUIDORA MIUDEZAS LEAO,,,12*3105-1294
169,DISTRIBUIDORA MODESTO,AMANDA,pousoalegre2@distribuidoramodesto.com.br,35*3222-4660
512,DISTRIBUIDORA TRASCIR,,,011 33311811
536,DISTRIBUIDORA VALEIMPORT,MARCELO,suporte@ativalink.com.br,
709,DN AUTOMACAO,,sp@dnautomacao.com.br,(11) 4083.4150
170,DOCAR PINDA,,,
493,"DOKAR VEICULOS, PEÇAS E SERVIÇOS LTDA",,dokarveiculos@dokarveiculos.com.br,1236445444
165,DOPOFILI IND TEXTIL LTDA,,,(011) 3784 3164
35,DOUGLAS DONIZETE DOS SANTOS,DOUGLAS,douglasdonizete@ig.com.br,(12) 3621-4591
201,DR. ROGERIO AMARAL,,,
172,DROGARIA NOVO MILENIO,ALINE FIGUEIREDO BELLO LOPES,,12*3622-6529
173,DROGARIA POPULAR DO POVO,,,12*3621-5838
174,DUKA HONDA CACAPAVA,,,
175,DUPLO R UNIFORMES,,,11*3873-6544
176,DUTO PLAST DO BRASIL IND. DE PLAST. LTDA,,,11*2524-7699
178,DUTRA MAQUINAS,,,11*2795-8844
850,DUTRASHOP COM MOV USADOS E IMSERV LTDA,,,
1145,DX BRASIL,,contato@dx-brasil.ind.br,+55 46 3220 7300
179,DX CONTROL S.A,,,11*3875-4719
180,E.C. DA SILVA BORGES EPP,ISABEL,,12*8113-1373
395,ECOENERGIA,,contato@lojaecoenergia.com.br,051 30859964
181,ECP ELETRONIC CONTROLE E PROTECAO LTDA,BRANDAO,contato@ecp.com.br,0800-7726710
872,EDENILSON DONIZETE SOLDA JUNIOR - ME,,vendas@wirelesslink.com.br,
182,EDESP,PAULO ROGERIO,,12*36314931
647,EDISEG,,,11) 3966-8422
184,EDISEG DIST. DE EQUIP. DE SEG.ELET. LTDA,EDIVALDO,,11*4534-2932
907,EDMILTON CASTRO DA SILVA - ME,,,1236217915
34,EDMORBA,,,(011) 3879-3000
32,EDP BANDEIRANTE ENERGIA S.A.,,,0800-721-0123
1053,EDSON ROCHA,,,
502,EDUARDO FRANÇA DA SILVA ME,,,36352931
185,ELAINE CRISTINA M MORAES - ME,VALDIR,,12*3653-4513
1009,ELEKTRO ENERGIA,,,
188,ELETRICA NOVA LUZ LTDA,,,11*222-2699
189,ELETRICIDADE UNIVERSO LTDA,,EDSON,12*3621-5844
609,ELETRO BENEGIL,,,3424-2221
190,ELETROALARMES,PIRES,,12*3652-2639
191,ELETROAQUILA,,,12*3921--3794
192,ELETRONICA  MG,GLAUCO C. BRANDÃO,,35*3471-1932
586,ELETRONICA SANTANA,,eletronica.santana@e.eletronicasantana.,(11) 2823-7066
925,ELETRONICA TAUBATEC,,taubatetec@gmail.com,3629-2866
734,ELI DAMARIS DE ANDRADE DE MELO,,,3629-6547
739,ELIANA APARECIDA DE TOLEDO,,,
362,ELITE ELETRONICA,marcelo,vendas1@eliteeletronica.com.br,(19)3267-0114
1107,ELSYS,,,
780,EMBRASTEC,,embrastec@embrastec.com.br,(16) 3877-5510
785,EMERSON CARVALHO TAUBATE ME,,WWW.RODAOPARTS.COM.BR,12-3424-0201
1017,EMERSON RANULFO SIQUEIRA DOS SANTOS,,,30119084
193,EMILIO AUTO CENTER,,,12*221-7444
749,EMP BRAS CORREIOS E TELEGRAFOS,,,
194,EMPORIO TURLITE,,,12*3681-2958
986,EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S,,,
602,EMSIL,,,(012) 3941.1110
195,ENERBRAS,,,41*3392-3052
196,ENGEPAULO,,,12*3632-1389
197,ENGESBRAS TELECOMUNICAÇÕES LTDA,WAGNER,,11*6983-1335
198,ENTEC - ENSINO DE TECNOLOGIA,,,12*3621-1595
1103,EPSON,,,
199,ESKELSEN RECAP PNEUS COMER.REPRES.LTDA,,,12*3159-4000
483,ESPAÇO DIGITAL DISTRIBUIDORA DE ELETRO E,,contato@satimagem.com.br,(11) 3305-9100
203,ESPLANE FORROS E DIVISÓRIAS,,,19*3232-3451
909,EVOLUTION INDUSTRIA E COM. LTDA ME,,,
689,EXPRESSO 08 SERVICOS DE GUINCHO,JAIRO,,1236243784
204,FABIO EDUARDO CERA CALIL-ME CONFI HASTE,VENDAS,,19*3426-1870
205,FABRICA DE ANTENAS - INTERNET,,,12*3308-1559
207,FARMACIA DROGAMIL,WANDERLEI,,12*3632-9911
208,FASAN DISTRIBUIDORA DE AUTO PEÇAS,,,11*3998-8249
532,FASTE SERVIÇOS ESPECIALIZADOS EM ELETRÔN,André Sasso,comercial_fasteletronica@hotmail.com,014 81683122
587,FASTWIRELESS TELECOM,WELLINGTON,antonio.castanho@fastwireless.com.br,(19) 3829-2740
703,FATO DISTRIBUIDORA,,eduardo@fatodistribuidora.com.br,
209,FAUZI IND.COM DE MOLAS E ART.DE M. LTDA,,,11*4458-8605
696,FERCATRONIC MONT. E COM. DE PRODS  ELETR,,fercatronic@fercatronic.com.br,011 34924281
1175,FERNANDES BOTOSSI LTDA,,,
210,FERNANDO CAMPOS,,,12*984-3354
643,FERNANDO PEREIRA DA SILVA,,,
211,FERRAGENS AMORIM,,,12*3672-2161
699,FERRARIS METAL INDUSTRIA,,contato@ferraris.com.br,
212,FERRI COMERCIO DE VIDROS E ESPELHOS LTDA,ANTONIO,,11*3207-1188
591,FEVAP FERRO E AÇO VALE DO PARAÍBA,,,012 3633-2829
5,FICC DISTRIBUIDORA LTDA ME,,,36353920
213,FISHEL COM DE SISTEMAS ELETRONICOS LTDA,,,21*2569-6834
1054,FLEXMEDIA IND. E COM. DE EQUIP. E TECNOL,,,
214,FOCUS DISTRIBUIDORA LTDA,,,
1150,FOCUS TECNOLOGIA LTDA - EMISSÃO DE CERTI,,,
760,FOLHA DE PAGAMENTO- ZELADORIA,,,
863,FONTEK SOLUÇOES EM ENERGIA,,,35 3471 1201
1007,FRANCISCO IVAN NAGGY,,NAGY@ADV.OABSP.ORG.BR,1297070915
839,FRAPA INDUSTRIA E COMÉRCIO DE FIOS E CAB,Alexandre Fontes,,(11) 2682-3998
588,FSTELECOM,,,(41)3275-4301
1182,FUJIOKA ELETRO IMAGEM S.A,,,
1117,FULL HD DISTRIBUIDORA DE SEGURANÇA,,,
215,FULL WIRELESS,,contato@fullwireless.com.br,(19) 3731 7200
38,FULLTIME - GESTORA DE DADOS LTDA,,,(14) 34078800
216,FUNILARIA E PINTURA GAUCHO E  MEXIRICA,GAUCHO E MEXIRICA,,12*3632-5710
1099,FURUKAWA,,,
1129,FYBER TUNNING,,,
927,G M USINAGEM E COMÉRCIO DE PEÇAS,,,(12) 3633-4288
217,G. AZEVEDO LABEL GRAFI-FI,,,27*3327-3982
